Time,Log,EventID,Type,EXE,Source,Inserts
2025-07-16 15:47:02,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"; 0; LiveKernelEvent; Нет данных; 0; 117; ffffce8d9b019010; fffff8026f4f1db0; 0; ffffce8d7ca21080; 10_0_26100; 0_0; 256_1; ; ; 
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250408-0352.dmp
\\?\C:\WINDOWS\SystemTemp\WER-493806828-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.732b7f20-e347-4e43-9a5c-6897ef7af86d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.576f4893-566f-49ce-a5c7-4f43a2457934.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a020be4-2a75-4c20-8482-71038576b939.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.306561cd-169a-4043-ba75-b89600042dfb.tmp.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_117_973e5749109c2b58917c445a156c8abaa26b036_00000000_bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; ; 0; bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; 2051; ; 0"
2025-07-16 15:45:59,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"; 0; LiveKernelEvent; Нет данных; 0; 117; ffffce8d9b019010; fffff8026f4f1db0; 0; ffffce8d7ca21080; 10_0_26100; 0_0; 256_1; ; ; 
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250408-0352.dmp
\\?\C:\WINDOWS\SystemTemp\WER-493806828-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.732b7f20-e347-4e43-9a5c-6897ef7af86d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.576f4893-566f-49ce-a5c7-4f43a2457934.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a020be4-2a75-4c20-8482-71038576b939.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.306561cd-169a-4043-ba75-b89600042dfb.tmp.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_117_973e5749109c2b58917c445a156c8abaa26b036_00000000_bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; ; 0; bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; 2051; ; 0"
2025-07-16 15:30:55,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"; 0; LiveKernelEvent; Нет данных; 0; 117; ffffce8d9b019010; fffff8026f4f1db0; 0; ffffce8d7ca21080; 10_0_26100; 0_0; 256_1; ; ; 
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250408-0352.dmp
\\?\C:\WINDOWS\SystemTemp\WER-493806828-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.732b7f20-e347-4e43-9a5c-6897ef7af86d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.576f4893-566f-49ce-a5c7-4f43a2457934.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a020be4-2a75-4c20-8482-71038576b939.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.306561cd-169a-4043-ba75-b89600042dfb.tmp.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_117_973e5749109c2b58917c445a156c8abaa26b036_00000000_bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; ; 0; bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; 2051; ; 0"
2025-07-16 14:07:48,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"1650141192586124178; 5; StoreAgentScanForUpdatesFailure0; Нет данных; 0; Update;; 80080005; 26100; 4061; Windows.Desktop; ; ; ; ; ; 
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.a90f57af-74b3-4583-8b3b-175318ab01cc.tmp.WERInternalMetadata.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;_92bfb41b7bb63e232bc4642786ce63e39b24a46_00000000_d89da18e-ad10-4dc2-9433-d01d574092ff; ; 0; d89da18e-ad10-4dc2-9433-d01d574092ff; 268435456; 49d321a7b93e823446e67aabfd55db92; 0"
2025-07-16 14:07:46,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"; 0; LiveKernelEvent; Нет данных; 0; 117; ffffce8d9b019010; fffff8026f4f1db0; 0; ffffce8d7ca21080; 10_0_26100; 0_0; 256_1; ; ; 
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250408-0352.dmp
\\?\C:\WINDOWS\SystemTemp\WER-493806828-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.732b7f20-e347-4e43-9a5c-6897ef7af86d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.576f4893-566f-49ce-a5c7-4f43a2457934.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a020be4-2a75-4c20-8482-71038576b939.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.306561cd-169a-4043-ba75-b89600042dfb.tmp.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_117_973e5749109c2b58917c445a156c8abaa26b036_00000000_bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; ; 0; bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; 2051; ; 0"
2025-07-16 14:07:46,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,; 0; StoreAgentScanForUpdatesFailure0; Нет данных; 0; Update;; 80080005; 26100; 4061; Windows.Desktop; ; ; ; ; ; ; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;_92bfb41b7bb63e232bc4642786ce63e39b24a46_00000000_d89da18e-ad10-4dc2-9433-d01d574092ff; ; 0; d89da18e-ad10-4dc2-9433-d01d574092ff; 4; ; 0
2025-07-16 14:03:45,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"1650141192586124178; 5; StoreAgentScanForUpdatesFailure0; Нет данных; 0; Update;; 80080005; 26100; 4061; Windows.Desktop; ; ; ; ; ; 
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6ccb4b85-0ad1-48be-8529-a86a204f5eee.tmp.WERInternalMetadata.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;_92bfb41b7bb63e232bc4642786ce63e39b24a46_00000000_60c84fb9-62ae-4be6-9c68-5ac5f59702ca; ; 0; 60c84fb9-62ae-4be6-9c68-5ac5f59702ca; 268435456; 49d321a7b93e823446e67aabfd55db92; 0"
2025-07-16 14:03:44,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"; 0; LiveKernelEvent; Нет данных; 0; 117; ffffce8d9b019010; fffff8026f4f1db0; 0; ffffce8d7ca21080; 10_0_26100; 0_0; 256_1; ; ; 
\\?\C:\WINDOWS\LiveKernelReports\WATCHDOG\WATCHDOG-20250408-0352.dmp
\\?\C:\WINDOWS\SystemTemp\WER-493806828-0.sysdata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.732b7f20-e347-4e43-9a5c-6897ef7af86d.tmp.WERInternalMetadata.xml
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.576f4893-566f-49ce-a5c7-4f43a2457934.tmp.csv
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.2a020be4-2a75-4c20-8482-71038576b939.tmp.txt
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.306561cd-169a-4043-ba75-b89600042dfb.tmp.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\Kernel_117_973e5749109c2b58917c445a156c8abaa26b036_00000000_bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; ; 0; bb8641d0-59ba-4ea1-885e-228ae7ad7a3b; 2051; ; 0"
2025-07-16 14:03:43,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,; 0; StoreAgentScanForUpdatesFailure0; Нет данных; 0; Update;; 80080005; 26100; 4061; Windows.Desktop; ; ; ; ; ; ; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportQueue\NonCritical_Update;_92bfb41b7bb63e232bc4642786ce63e39b24a46_00000000_60c84fb9-62ae-4be6-9c68-5ac5f59702ca; ; 0; 60c84fb9-62ae-4be6-9c68-5ac5f59702ca; 4; ; 0
2025-07-16 13:12:48,Application,1001,Отчёт об ошибке,Windows Error Reporting,Windows Error Reporting,"1650141192586124178; 5; StoreAgentScanForUpdatesFailure0; Нет данных; 0; Update;; 80080005; 26100; 4061; Windows.Desktop; ; ; ; ; ; 
\\?\C:\ProgramData\Microsoft\Windows\WER\Temp\WER.6059b31b-8128-4b18-9149-5919738609e5.tmp.WERInternalMetadata.xml; \\?\C:\ProgramData\Microsoft\Windows\WER\ReportArchive\NonCritical_Update;_92bfb41b7bb63e232bc4642786ce63e39b24a46_00000000_99ce8d2a-97f8-4a59-971f-b43cdc72ec7c; ; 0; 99ce8d2a-97f8-4a59-971f-b43cdc72ec7c; 268435456; 49d321a7b93e823446e67aabfd55db92; 0"
